Bat1,Wkts,Conc,Ct,St,,Opposition,Ground,Start Date,,match_link,player_id
10,-,-,2,1,,v England,Auckland,9 Feb 2013,T20I # 301,/ci/engine/match/569237.html,2
74,-,-,0,0,,v England,Hamilton,12 Feb 2013,T20I # 302,/ci/engine/match/569238.html,2
26,-,-,0,0,,v England,Wellington,15 Feb 2013,T20I # 304,/ci/engine/match/569239.html,2
68,-,-,0,0,,v England,The Oval,25 Jun 2013,T20I # 317,/ci/engine/match/566926.html,2
TDNB,-,-,1,0,,v England,The Oval,27 Jun 2013,T20I # 318,/ci/engine/match/566927.html,2
60*,-,-,0,0,,v West Indies,Auckland,11 Jan 2014,T20I # 352,/ci/engine/match/661695.html,2
17,-,-,0,0,,v West Indies,Wellington,15 Jan 2014,T20I # 353,/ci/engine/match/661697.html,2
16*,-,-,1,0,,v England,Chattogram,22 Mar 2014,T20I # 380,/ci/engine/match/682925.html,2
4,-,-,0,0,,v South Africa,Chattogram,24 Mar 2014,T20I # 383,/ci/engine/match/682931.html,2
65,-,-,0,0,,v Netherlands,Chattogram,29 Mar 2014,T20I # 390,/ci/engine/match/682945.html,2
0,-,-,0,0,,v Sri Lanka,Chattogram,31 Mar 2014,T20I # 395,/ci/engine/match/682955.html,2
40,-,-,0,0,,v West Indies,Roseau,5 Jul 2014,T20I # 402,/ci/engine/match/730283.html,2
21,-,-,0,0,,v West Indies,Roseau,6 Jul 2014,T20I # 403,/ci/engine/match/730285.html,2
35,-,-,1,0,,v England,Manchester,23 Jun 2015,T20I # 423,/ci/engine/match/743953.html,2
98*,-,-,1,0,,v New Zealand,Auckland,17 Feb 2005,T20I # 1,/ci/engine/match/211048.html,3
0,-,-,2,0,,v England,Southampton,13 Jun 2005,T20I # 2,/ci/engine/match/211028.html,3
27,-,-,0,0,,v South Africa,Brisbane,9 Jan 2006,T20I # 4,/ci/engine/match/226374.html,3
6,-,-,0,0,,v South Africa,Johannesburg,24 Feb 2006,T20I # 6,/ci/engine/match/238195.html,3
47,-,-,0,0,,v England,Sydney,9 Jan 2007,T20I # 13,/ci/engine/match/249227.html,3
8,-,-,0,0,,v Zimbabwe,Cape Town,12 Sep 2007,T20I # 23,/ci/engine/match/287856.html,3
20,-,-,0,0,,v England,Cape Town,14 Sep 2007,T20I # 28,/ci/engine/match/287861.html,3
6*,-,-,2,0,,v Bangladesh,Cape Town,16 Sep 2007,T20I # 33,/ci/engine/match/287866.html,3
27,-,-,0,0,,v Pakistan,Johannesburg,18 Sep 2007,T20I # 37,/ci/engine/match/287870.html,3
76,-,-,1,0,,v India,Brabourne,20 Oct 2007,T20I # 47,/ci/engine/match/297800.html,3
DNB,-,-,0,0,,v West Indies,Bridgetown,20 Jun 2008,T20I # 57,/ci/engine/match/319142.html,3
21,-,-,0,0,,v South Africa,Melbourne,11 Jan 2009,T20I # 80,/ci/engine/match/351694.html,3
38,-,-,0,0,,v South Africa,Brisbane,13 Jan 2009,T20I # 81,/ci/engine/match/351695.html,3
1,-,-,1,0,,v South Africa,Johannesburg,27 Mar 2009,T20I # 87,/ci/engine/match/350475.html,3
1,-,-,0,0,,v South Africa,Centurion,29 Mar 2009,T20I # 88,/ci/engine/match/350476.html,3
0,-,-,0,0,,v West Indies,The Oval,6 Jun 2009,T20I # 92,/ci/engine/match/355993.html,3
25,-,-,1,0,,v Sri Lanka,Nottingham,8 Jun 2009,T20I # 97,/ci/engine/match/355998.html,3
DNB,1,12,1,0,,v India,Melbourne,1 Feb 2008,T20I # 52,/ci/engine/match/291356.html,4
0,-,-,0,0,,v West Indies,Bridgetown,20 Jun 2008,T20I # 57,/ci/engine/match/319142.html,4
19,3,25,0,0,,v South Africa,Melbourne,11 Jan 2009,T20I # 80,/ci/engine/match/351694.html,4
2,1,18,1,0,,v South Africa,Brisbane,13 Jan 2009,T20I # 81,/ci/engine/match/351695.html,4
41,0,24,0,0,,v New Zealand,Sydney,15 Feb 2009,T20I # 83,/ci/engine/match/351696.html,4
88*,2,21,1,0,,v South Africa,Johannesburg,27 Mar 2009,T20I # 87,/ci/engine/match/350475.html,4
27,0,24,0,0,,v South Africa,Centurion,29 Mar 2009,T20I # 88,/ci/engine/match/350476.html,4
4,-,-,0,0,,v Pakistan,Dubai (DICS),7 May 2009,T20I # 89,/ci/engine/match/392615.html,4
27,0,16,1,0,,v West Indies,The Oval,6 Jun 2009,T20I # 92,/ci/engine/match/355993.html,4
28,-,-,0,0,,v Sri Lanka,Nottingham,8 Jun 2009,T20I # 97,/ci/engine/match/355998.html,4
0,-,-,0,0,,v England,Manchester,30 Aug 2009,T20I # 119,/ci/engine/match/350050.html,4
40*,-,-,1,0,,v Pakistan,Melbourne,5 Feb 2010,T20I # 134,/ci/engine/match/406207.html,4
1,0,4,1,0,,v West Indies,Hobart,21 Feb 2010,T20I # 146,/ci/engine/match/406197.html,4
DNB,-,-,0,0,,v West Indies,Sydney,23 Feb 2010,T20I # 147,/ci/engine/match/406198.html,4
46,0,6,1,0,,v New Zealand,Wellington,26 Feb 2010,T20I # 148,/ci/engine/match/423787.html,4
10,0,21,0,0,,v New Zealand,Christchurch,28 Feb 2010,T20I # 149,/ci/engine/match/423788.html,4
53,1,12,1,0,,v Pakistan,Gros Islet,2 May 2010,T20I # 156,/ci/engine/match/412683.html,4
9,2,8,1,0,,v Bangladesh,Bridgetown,5 May 2010,T20I # 161,/ci/engine/match/412688.html,4
35,-,-,2,0,,v India,Bridgetown,7 May 2010,T20I # 165,/ci/engine/match/412691.html,4
0,-,-,0,0,,v Sri Lanka,Bridgetown,9 May 2010,T20I # 170,/ci/engine/match/412696.html,4
10*,2,3,1,0,,v West Indies,Gros Islet,11 May 2010,T20I # 174,/ci/engine/match/412700.html,4
13,1,24,0,0,,v Pakistan,Gros Islet,14 May 2010,T20I # 176,/ci/engine/match/412702.html,4
59,-,-,1,0,,v England,Bridgetown,16 May 2010,T20I # 177,/ci/engine/match/412703.html,4
34,1,33,1,0,,v Pakistan,Birmingham,5 Jul 2010,T20I # 184,/ci/engine/match/426392.html,4
33,1,16,0,0,,v Pakistan,Birmingham,6 Jul 2010,T20I # 185,/ci/engine/match/426393.html,4
7,-,-,0,0,,v Sri Lanka,W.A.C.A,31 Oct 2010,T20I # 192,/ci/engine/match/446956.html,4
28,1,14,2,0,,v England,Adelaide,12 Jan 2011,T20I # 197,/ci/engine/match/446960.html,4
8,0,18,0,0,,v England,Melbourne,14 Jan 2011,T20I # 198,/ci/engine/match/446961.html,4
6,-,-,0,0,,v Sri Lanka,Pallekele,6 Aug 2011,T20I # 202,/ci/engine/match/516204.html,4
2,0,7,1,0,,v Sri Lanka,Pallekele,8 Aug 2011,T20I # 203,/ci/engine/match/516205.html,4
25,0,25,0,0,,v South Africa,Cape Town,13 Oct 2011,T20I # 210,/ci/engine/match/514023.html,4
12,1,20,2,0,,v South Africa,Johannesburg,16 Oct 2011,T20I # 212,/ci/engine/match/514024.html,4
42,2,4,1,0,,v India,Sydney,1 Feb 2012,T20I # 217,/ci/engine/match/518954.html,4
24,0,8,0,0,,v India,Melbourne,3 Feb 2012,T20I # 218,/ci/engine/match/518955.html,4
DNB,-,-,2,0,,v West Indies,Gros Islet,27 Mar 2012,T20I # 241,/ci/engine/match/540173.html,4
19,-,-,1,0,,v West Indies,Bridgetown,30 Mar 2012,T20I # 243,/ci/engine/match/540174.html,4
3,-,-,1,0,,v Pakistan,Dubai (DICS),5 Sep 2012,T20I # 256,/ci/engine/match/571148.html,4
1,0,7,0,0,,v Pakistan,Dubai (DICS),7 Sep 2012,T20I # 257,/ci/engine/match/571149.html,4
0,0,22,0,0,,v West Indies,Colombo (RPS),5 Oct 2012,T20I # 288,/ci/engine/match/533297.html,4
