Player,Span,Mat,Team
VVS Laxman,2008-2010,17,Deccan Chargers
MJ Lumb,2011-2011,1,Deccan Chargers
CA Lynn,2012-2012,1,Deccan Chargers
I Malhotra,2011-2011,1,Deccan Chargers
MR Marsh,2010-2010,3,Deccan Chargers
A Mishra,2011-2012,28,Deccan Chargers
MD Mishra,2010-2010,11,Deccan Chargers
T Mishra,2012-2012,1,Deccan Chargers
PP Ojha,2008-2011,54,Deccan Chargers
PA Patel,2012-2012,14,Deccan Chargers
V Pratap Singh,2012-2012,9,Deccan Chargers
DB Ravi Teja,2008-2012,30,Deccan Chargers
PA Reddy,2012-2012,5,Deccan Chargers
KAJ Roach,2010-2010,2,Deccan Chargers
BB Samantray,2012-2012,1,Deccan Chargers
KC Sangakkara,2011-2012,25,Deccan Chargers
PM Sarvesh Kumar,2008-2008,2,Deccan Chargers
Shahid Afridi,2008-2008,10,Deccan Chargers
I Sharma,2011-2011,12,Deccan Chargers
R Sharma,2010-2010,6,Deccan Chargers
RG Sharma,2008-2010,45,Deccan Chargers
Shoaib Ahmed,2009-2009,8,Deccan Chargers
LPC Silva,2008-2008,3,Deccan Chargers
RP Singh,2008-2010,42,Deccan Chargers
DR Smith,2009-2010,11,Deccan Chargers
S Sohal,2011-2011,11,Deccan Chargers
DW Steyn,2011-2012,24,Deccan Chargers
SB Styris,2008-2009,10,Deccan Chargers
TP Sudhindra,2012-2012,3,Deccan Chargers
TL Suman,2009-2010,26,Deccan Chargers
B Sumanth,2010-2010,5,Deccan Chargers
A Symonds,2008-2010,28,Deccan Chargers
J Theron,2012-2012,2,Deccan Chargers
WPUJC Vaas,2008-2010,13,Deccan Chargers
Y Venugopal Rao,2008-2010,33,Deccan Chargers
DP Vijaykumar,2008-2008,9,Deccan Chargers
CL White,2011-2012,19,Deccan Chargers
AS Yadav,2008-2008,8,Deccan Chargers
DNT Zoysa,2008-2008,3,Deccan Chargers
S Ladda,2010-2010,5,Delhi Daredevils
AR Bawne,2017-2017,1,Delhi Daredevils
VR Aaron,2011-2012,12,Delhi Daredevils
Abhishek Sharma,2018-2018,3,Delhi Daredevils
Abishek Porel,2023-2024,18,Delhi Daredevils
AB Agarkar,2011-2013,15,Delhi Daredevils
MA Agarwal,2014-2016,21,Delhi Daredevils
KK Ahmed,2022-2024,33,Delhi Daredevils
Aman Hakim Khan,2023-2023,11,Delhi Daredevils
CJ Anderson,2017-2017,11,Delhi Daredevils
R Ashwin,2020-2021,28,Delhi Daredevils
Avesh Khan,2018-2021,24,Delhi Daredevils
KS Bharat,2022-2022,2,Delhi Daredevils
R Bhatia,2008-2010,22,Delhi Daredevils
RK Bhui,2024-2024,2,Delhi Daredevils
SW Billings,2016-2017,11,Delhi Daredevils
TR Birt,2011-2011,5,Delhi Daredevils
J Botha,2013-2013,6,Delhi Daredevils
TA Boult,2018-2019,19,Delhi Daredevils
DAJ Bracewell,2012-2012,1,Delhi Daredevils
CR Brathwaite,2016-2017,10,Delhi Daredevils
AT Carey,2020-2020,3,Delhi Daredevils
UBT Chand,2011-2013,13,Delhi Daredevils
B Chipli,2013-2013,1,Delhi Daredevils
DT Christian,2018-2018,4,Delhi Daredevils
PD Collingwood,2010-2010,8,Delhi Daredevils
NM Coulter-Nile,2014-2016,17,Delhi Daredevils
PJ Cummins,2017-2017,12,Delhi Daredevils
TK Curran,2021-2021,3,Delhi Daredevils
CJ Dala,2018-2018,1,Delhi Daredevils
Q de Kock,2014-2016,23,Delhi Daredevils
TU Deshpande,2020-2020,5,Delhi Daredevils
AB de Villiers,2008-2010,28,Delhi Daredevils
S Dhawan,2008-2021,63,Delhi Daredevils
YV Dhull,2023-2023,4,Delhi Daredevils
TM Dilshan,2008-2010,27,Delhi Daredevils
AB Dinda,2011-2011,6,Delhi Daredevils
P Dubey,2020-2023,4,Delhi Daredevils
JP Duminy,2014-2016,38,Delhi Daredevils
AJ Finch,2011-2012,8,Delhi Daredevils
J Fraser-McGurk,2024-2024,9,Delhi Daredevils
G Gambhir,2008-2018,46,Delhi Daredevils
PK Garg,2023-2023,2,Delhi Daredevils
CM Gautam,2013-2015,4,Delhi Daredevils
B Geeves,2008-2008,2,Delhi Daredevils
Gulbadin Naib,2024-2024,2,Delhi Daredevils
Sunny Gupta,2012-2012,1,Delhi Daredevils
MC Henriques,2010-2010,1,Delhi Daredevils
SO Hetmyer,2020-2021,26,Delhi Daredevils
SD Hope,2024-2024,9,Delhi Daredevils
JR Hopes,2011-2011,10,Delhi Daredevils
Imran Tahir,2014-2016,20,Delhi Daredevils
CA Ingram,2011-2019,15,Delhi Daredevils
SS Iyer,2015-2021,87,Delhi Daredevils
KM Jadhav,2010-2015,41,Delhi Daredevils
DPMD Jayawardene,2012-2013,31,Delhi Daredevils
MC Juneja,2013-2013,7,Delhi Daredevils
KD Karthik,2008-2014,56,Delhi Daredevils
S Kaul,2013-2014,11,Delhi Daredevils
SN Khan,2022-2023,10,Delhi Daredevils
Z Khan,2015-2017,30,Delhi Daredevils
Kuldeep Yadav,2022-2024,39,Delhi Daredevils
K Kushagra,2024-2024,4,Delhi Daredevils
S Lamichhane,2018-2019,9,Delhi Daredevils
AB McDonald,2009-2011,6,Delhi Daredevils
GD McGrath,2008-2008,14,Delhi Daredevils
